symbol,quantity,buy_price
DSP NATURAL RESOURCES AND NEW ENERGY FUND - DIRECT PLAN,1494.569,46.8339
DSP WORLD ENERGY FUND - DIRECT PLAN,5427.908,14.7379
DSP WORLD MINING FUND - DIRECT PLAN,5063.691,11.8485
FRANKLIN INDIA LOW DURATION FUND - DIRECT PLAN,12.562,22.8592
